,Temp,Enthalpy,Step
707,335.6439,-663944.8,3480000.0
708,335.6439,-663944.8,3480000.0
709,335.87,-663909.7,3485000.0
710,337.0846,-663901.5,3490000.0
711,338.3711,-663881.0,3495000.0
712,337.9824,-663870.4,3500000.0
713,336.6624,-663881.2,3505000.0
714,339.0187,-663799.8,3510000.0
715,339.3598,-663817.7,3515000.0
716,341.0563,-663772.9,3520000.0
717,340.0311,-663758.6,3525000.0
718,341.4215,-663718.1,3530000.0
719,342.8983,-663701.7,3535000.0
720,344.2632,-663663.6,3540000.0
721,343.1482,-663676.9,3545000.0
722,343.7629,-663669.4,3550000.0
723,343.4146,-663635.9,3555000.0
724,346.3345,-663577.9,3560000.0
725,346.0619,-663600.3,3565000.0
726,346.2636,-663561.8,3570000.0
727,348.0386,-663509.7,3575000.0
728,347.6881,-663486.8,3580000.0
729,346.7459,-663522.0,3585000.0
730,346.3497,-663504.6,3590000.0
731,349.1603,-663422.4,3595000.0
732,349.054,-663426.3,3600000.0
733,351.3744,-663389.7,3605000.0
734,352.5993,-663377.5,3610000.0
735,350.2995,-663344.1,3615000.0
736,352.6824,-663319.6,3620000.0
737,353.0873,-663331.2,3625000.0
738,353.4822,-663288.3,3630000.0
739,353.3337,-663264.1,3635000.0
740,355.1235,-663219.7,3640000.0
741,356.3377,-663171.8,3645000.0
742,355.4417,-663205.9,3650000.0
743,355.312,-663184.7,3655000.0
744,357.9472,-663134.2,3660000.0
745,357.6584,-663128.1,3665000.0
746,359.7443,-663073.1,3670000.0
747,359.1575,-663078.8,3675000.0
748,359.4635,-663063.8,3680000.0
749,359.8542,-663058.4,3685000.0
750,360.7161,-663000.3,3690000.0
751,362.2628,-662965.6,3695000.0
752,362.5241,-662958.2,3700000.0
753,362.7405,-662954.7,3705000.0
754,362.063,-662958.0,3710000.0
755,364.1196,-662907.8,3715000.0
756,365.7444,-662853.9,3720000.0
757,365.4507,-662864.2,3725000.0
758,367.3292,-662836.7,3730000.0
759,367.0823,-662810.7,3735000.0
760,367.2051,-662790.9,3740000.0
761,366.4396,-662789.4,3745000.0
762,368.3924,-662726.5,3750000.0
763,370.7791,-662696.4,3755000.0
764,369.9121,-662697.6,3760000.0
765,371.0172,-662660.4,3765000.0
766,371.7743,-662629.6,3770000.0
767,372.9921,-662583.1,3775000.0
768,372.3798,-662610.6,3780000.0
769,373.3129,-662581.7,3785000.0
770,372.9547,-662547.4,3790000.0
771,374.7603,-662558.3,3795000.0
772,374.8674,-662524.3,3800000.0
773,374.8023,-662531.8,3805000.0
774,375.3975,-662515.5,3810000.0
775,377.3782,-662404.6,3815000.0
776,376.8463,-662433.1,3820000.0
777,378.1957,-662385.4,3825000.0
818,383.1263,-662235.2,4025000.0
819,380.9635,-662273.4,4030000.0
820,383.6519,-662237.0,4035000.0
821,383.3313,-662241.8,4040000.0
822,382.591,-662250.9,4045000.0
823,381.0095,-662295.2,4050000.0
824,382.8047,-662247.8,4055000.0
825,383.2466,-662222.0,4060000.0
826,383.2466,-662222.0,4060000.0
827,384.0692,-662222.7,4065000.0
828,382.7521,-662223.0,4070000.0
829,383.0987,-662205.8,4075000.0
830,384.5208,-662192.9,4080000.0
831,386.4028,-662141.7,4085000.0
832,385.9383,-662110.0,4090000.0
833,385.7445,-662111.7,4095000.0
834,387.0907,-662083.9,4100000.0
835,388.4384,-662051.5,4105000.0
836,387.8309,-662055.3,4110000.0
837,389.587,-661992.7,4115000.0
838,390.4948,-661987.5,4120000.0
839,389.1011,-662003.6,4125000.0
840,390.523,-661963.5,4130000.0
841,391.3906,-661902.8,4135000.0
